run,loss_type,learning_rate,grpo_step,loss,grad_norm,token_entropy,train_answer_accuracy,train_format_accuracy
reinforce_with_baseline,reinforce_with_baseline,4e-05,145,-0.0008750254382903222,0.1513671875,0.044293880462646484,0.7265625,0.92578125
reinforce_with_baseline,reinforce_with_baseline,4e-05,146,-0.0006755782196705695,0.0947265625,0.03577613830566406,0.70703125,0.87890625
reinforce_with_baseline,reinforce_with_baseline,4e-05,147,-0.0015596493749399087,0.205078125,0.04735898971557617,0.6640625,0.84765625
reinforce_with_baseline,reinforce_with_baseline,4e-05,148,-4.901188913208898e-05,0.1220703125,0.030434131622314453,0.765625,0.90234375
reinforce_with_baseline,reinforce_with_baseline,4e-05,149,-0.0008571450071030995,0.14453125,0.044022560119628906,0.66796875,0.84765625
reinforce_with_baseline,reinforce_with_baseline,4e-05,150,0.0012617027496162336,0.1630859375,0.03920745849609375,0.703125,0.90625
reinforce_with_baseline,reinforce_with_baseline,4e-05,151,-0.0005214004054323595,0.2109375,0.0267791748046875,0.734375,0.953125
reinforce_with_baseline,reinforce_with_baseline,4e-05,152,-0.0005800285416626139,0.2001953125,0.03696632385253906,0.72265625,0.90234375
reinforce_with_baseline,reinforce_with_baseline,4e-05,153,-0.0003654817664937582,0.11181640625,0.029487133026123047,0.8359375,0.94921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,154,0.00011903204176633153,0.169921875,0.02963399887084961,0.80078125,0.91015625
reinforce_with_baseline,reinforce_with_baseline,4e-05,155,0.0006497715417026484,0.1943359375,0.02892017364501953,0.7109375,0.9140625
reinforce_with_baseline,reinforce_with_baseline,4e-05,156,-0.0020763990351042594,0.302734375,0.03304004669189453,0.86328125,0.96875
reinforce_with_baseline,reinforce_with_baseline,4e-05,157,0.0008792703210929176,0.2001953125,0.027647972106933594,0.6171875,0.828125
reinforce_with_baseline,reinforce_with_baseline,4e-05,158,-0.0003808256706179236,0.16796875,0.024851083755493164,0.8046875,0.9609375
reinforce_with_baseline,reinforce_with_baseline,4e-05,159,0.0006584486618521623,0.1396484375,0.02756476402282715,0.65625,0.87890625
reinforce_with_baseline,reinforce_with_baseline,4e-05,160,-0.0002471616671755328,0.0947265625,0.03240537643432617,0.58984375,0.8515625
reinforce_with_baseline,reinforce_with_baseline,4e-05,161,0.0001808654951673816,0.130859375,0.02669382095336914,0.77734375,0.8984375
reinforce_with_baseline,reinforce_with_baseline,4e-05,162,-0.001074430699190998,0.1669921875,0.03410530090332031,0.83203125,0.96484375
reinforce_with_baseline,reinforce_with_baseline,4e-05,163,-0.000964771489634586,0.11669921875,0.029120922088623047,0.8046875,0.90234375
reinforce_with_baseline,reinforce_with_baseline,4e-05,164,-0.0007465454855264397,0.150390625,0.03741288185119629,0.66015625,0.84375
reinforce_with_baseline,reinforce_with_baseline,4e-05,165,-0.0004363451480458025,0.185546875,0.041749000549316406,0.6796875,0.94921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,166,-0.002113485278641747,0.185546875,0.03421449661254883,0.7734375,0.94921875
reinforce_with_baseline,reinforce_with_baseline,4e-05,167,0.0006155384326120839,0.130859375,0.024373531341552734,0.75390625,0.91015625
reinforce_with_baseline,reinforce_with_baseline,4e-05,168,-0.00019124276332149748,0.1728515625,0.031003475189208984,0.765625,0.96484375
