run,phase,role,grpo_step,optimizer_step,rollout_epoch,token_entropy,grad_norm,loss,clip_fraction,approx_kl,rollout_avg_response_token_length,rollout_answer_accuracy,rollout_format_accuracy
on_policy_reference_e1_tb256,focused,on_policy_reference,167,167,1,0.05185270309448242,6.59375,-0.1284490220114094,,,349.890625,0.671875,0.91796875
on_policy_reference_e1_tb256,focused,on_policy_reference,168,168,1,0.059432029724121094,14.0,0.040759397441433975,,,307.6796875,0.671875,0.9375
on_policy_reference_e1_tb256,focused,on_policy_reference,169,169,1,0.06183624267578125,11.625,-0.012231766912009334,,,340.671875,0.71875,0.9453125
on_policy_reference_e1_tb256,focused,on_policy_reference,170,170,1,0.07192802429199219,11.25,-0.07009249746624846,,,316.4765625,0.6640625,0.94921875
on_policy_reference_e1_tb256,focused,on_policy_reference,171,171,1,0.06861591339111328,8.5625,-0.21519977816205937,,,313.34375,0.75,0.96484375
on_policy_reference_e1_tb256,focused,on_policy_reference,172,172,1,0.07553291320800781,13.125,-0.13426423305645585,,,325.3671875,0.74609375,0.94921875
on_policy_reference_e1_tb256,focused,on_policy_reference,173,173,1,0.06714725494384766,3.296875,0.0025884843526000623,,,345.46484375,0.67578125,0.94140625
on_policy_reference_e1_tb256,focused,on_policy_reference,174,174,1,0.06359004974365234,13.5,-0.22660362015813007,,,358.62890625,0.5859375,0.9453125
on_policy_reference_e1_tb256,focused,on_policy_reference,175,175,1,0.075347900390625,4.78125,-0.03446321527371765,,,328.4921875,0.66796875,0.9296875
on_policy_reference_e1_tb256,focused,on_policy_reference,176,176,1,0.0755157470703125,8.6875,-0.09213012261170661,,,331.16796875,0.59375,0.9453125
on_policy_reference_e1_tb256,focused,on_policy_reference,177,177,1,0.07111358642578125,5.625,-0.03246971225962625,,,357.4609375,0.58984375,0.90625
on_policy_reference_e1_tb256,focused,on_policy_reference,178,178,1,0.0632181167602539,6.34375,-0.13629241445414664,,,342.21875,0.62890625,0.9453125
on_policy_reference_e1_tb256,focused,on_policy_reference,179,179,1,0.07078361511230469,4.9375,-0.09149580774464994,,,294.71875,0.703125,0.92578125
